Numero,Compuesto bioactivo,Base de datos,SMILES,TIPO DE SMILES,Actividad anticancerígena,Enlaces del artículo de PubMed
127,_-Muurolene,ChEBI,[H][C@@]12C=C(C)CC[C@]1([H])C(C)=CC[C@H]2C(C)C,Isomérico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: _-Muurolene).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
,,,,,,
128,_ -Guaieno,PubChem,C[C@H]1CCC(=C(C)C)CC2=C1CC[C@@H]2C,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: _ -Guaieno).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
129,Cadinol,PubChem,CC1=CC2[C@@H](CC[C@@](C2CC1)(C)O)C(C)C,Isomérico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: Cadinol).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
130,Narcisina (Narcissin),ChEMBL,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)ccc1O,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Narcisina (Narcissin)).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
131,Nicotiflorina (Nicotiflorin),ChEMBL,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)cc4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Nicotiflorina (Nicotiflorin)).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
132,_-carbolina,ChEMBL,c1ccc2c(c1)[nH]c1cnccc12,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: _-carbolina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
133,Retronecina,ChEBI,[H][C@]12C(CO)=CCN1CC[C@H]2O,Isomérico,Alcaloides: inducción de apoptosis y arresto del ciclo celular; muchos alcaloides han mostrado potencial antitumoral en estudios preclínicos. (Compuesto: Retronecina).,https://pubmed.ncbi.nlm.nih.gov/31228447/ 
134,Lindelofidina (Lindelofina),Pubchem,C[C@H]([C@@](C(C)C)(C(=O)OC[C@@H]1CCN2[C@@H]1CCC2)O)O,Isomérico,Alcaloides: inducción de apoptosis y arresto del ciclo celular; muchos alcaloides han mostrado potencial antitumoral en estudios preclínicos. (Compuesto: Lindelofidina (Lindelofina)).,https://pubmed.ncbi.nlm.nih.gov/31228447/ 
135,Supinidina,Pubchem,C1CC2C(=CCN2C1)CO,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Supinidina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
136,Trachelanthamidina,ChEBI,[H][C@@]12CCCN1CC[C@H]2CO,Isomérico,Alcaloides: inducción de apoptosis y arresto del ciclo celular; muchos alcaloides han mostrado potencial antitumoral en estudios preclínicos. (Compuesto: Trachelanthamidina).,https://pubmed.ncbi.nlm.nih.gov/31228447/ 
137,Espermidina,DrugBank,NCCCCNCCCN,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Espermidina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
138,Espermina,ChEMBL,NCCCNCCCCNCCCN,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Espermina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
139,Putrescina,Pubchem,C(C[11CH2]N)CN,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Putrescina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
140,_-pineno,Pubchem,CC1(C2CCC(=C)C1C2)C,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: _-pineno).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
141,Linalool,ChEMBL,C=CC(C)(O)CCC=C(C)C,Canónico,"Constituyentes de aceites esenciales (p.ej. 1,8-cineol, linalool): muestran actividad antiproliferativa y pro-apoptótica en estudios in vitro y algunos in vivo. (Compuesto: Linalool).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4266698/ 
142,Galangina,ChEMBL,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Galangina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
143,Pinocembrina,ChEMBL,O=C1C[C@@H](c2ccccc2)Oc2cc(O)cc(O)c21,Isomérico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Pinocembrina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
144,Crisina,PubChem,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,Canónico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Crisina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
145,Eriodictyol,ChEMBL,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,Isomérico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Eriodictyol).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
146,Tricetina,DrugBank,OC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC(O)=C(O)C(O)=C1,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Tricetina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
147,Sakuranetin,ChEMBL,COc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)CC2=O,Isomérico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Sakuranetin).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
148,Sílice,DrugBank,O=[Si]=O,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Sílice).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
149,Equisetina,PubChem,C/C=C/[C@@H]1C=C[C@@H]2C[C@@H](CC[C@H]2[C@]1(C)/C(=C\3/C(=O)[C@@H](N(C3=O)C)CO)/O)C,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Equisetina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
150,Hiperósido,ChEMBL,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Hiperósido).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
151,Taspina,PubChem,CN(C)CCC1=CC(=C2C3=C1C(=O)OC4=C(C=CC(=C34)C(=O)O2)OC)OC,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Taspina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
152,Epigalocatequina,ChEBI,O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Epigalocatequina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
153,Genisteína,DrugBank,OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O,Canónico,"Alta pleiotropía y baja biodisponibilidad. El primero se refiere a la capacidad de un compuesto dado para actuar a varios niveles en las células, desencadenando al mismo tiempo varias vías bioquímicas involucradas en la aparición y desarrollo del cáncer (es decir, detención del ciclo celular, apoptosis, muerte celular).",https://pmc.ncbi.nlm.nih.gov/articles/PMC4496735/#sec30
,,,,,,
154,Daidzeína,ChEMBL,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,Canónico,"Inhibe la invasión de células de cáncer de mama humano MDA-MB-231 en parte a través de la regulación negativa de la expresión de MMP-2, con efectos equipotentes observados para la isoflavona parental daidzeína y los enantiómeros de equol.",https://pubmed.ncbi.nlm.nih.gov/23568763/
,,,,,,
155,Berberina,DrugBank,COC1=CC=C2C=C3C4=CC5=C(OCO5)C=C4CC[N+]3=CC2=C1OC,Canónico,Alcaloides: inducción de apoptosis y arresto del ciclo celular; muchos alcaloides han mostrado potencial antitumoral en estudios preclínicos. (Compuesto: Berberina).,https://pubmed.ncbi.nlm.nih.gov/31228447/ 
156,_-amirina,ChEMBL,CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,Isomérico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: _-amirina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
157,Queleritrina,DrugBank,COC1=CC=C2C(C=[N+](C)C3=C2C=CC2=CC4=C(OCO4)C=C32)=C1OC,Canónico,"Intervenir en la progresión tumoral e inhibir el crecimiento tumoral de diversas maneras, como la inducción de la apoptosis de células cancerosas, la detención del ciclo celular, la prevención de la invasión tumoral y la metástasis, la muerte celular mediada por autofagia, la unión selectiva al G-cuádruplex telomérico y la inhibición potente de la actividad de la telomerasa mediante la estabilización del G-cuádruplex, las especies reactivas de oxígeno (ROS), la proteína quinasa activada por mitógenos (MAPK) y la PKC.",https://pmc.ncbi.nlm.nih.gov/articles/PMC9198297/#s1
,,,,,,
158,Protopina,ChEMBL,CN1CCc2cc3c(cc2C(=O)Cc2ccc4c(c2C1)OCO4)OCO3,Canónico,Es regula la vía de señalización ROS/PI3K/Akt y la vía intrínseca.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8746401/#sec4-molecules-27-00215
,,,,,Induce apoptosis y autofagia al estabilizar p53.,
,,,,,Antiadherente y antiinvasivo.,
,,,,,Regula la actividad de Cdk1 y la familia de proteínas Bcl-2.,
,,,,,,
159,Sanguinarina,ChEBI,C[n+]1cc2c3OCOc3ccc2c2ccc3cc4OCOc4cc3c12,Canónico,Alcaloides: inducción de apoptosis y arresto del ciclo celular; muchos alcaloides han mostrado potencial antitumoral en estudios preclínicos. (Compuesto: Sanguinarina).,https://pubmed.ncbi.nlm.nih.gov/31228447/ 
160,Columbamina,ChEMBL,COc1cc2c(cc1O)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,Canónico,Alcaloides: inducción de apoptosis y arresto del ciclo celular; muchos alcaloides han mostrado potencial antitumoral en estudios preclínicos. (Compuesto: Columbamina).,https://pubmed.ncbi.nlm.nih.gov/31228447/ 
161,Baicaleína,DrugBank,OC1=CC2=C(C(O)=C1O)C(=O)C=C(O2)C1=CC=CC=C1,Canónico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Baicaleína).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
162,Baicalina,ChEBI,O[C@@H]1[C@@H](O)[C@H](OC2=CC3=C(C(=O)C=C(O3)C3=CC=CC=C3)C(O)=C2O)O[C@@H]([C@H]1O)C(O)=O,Isomérico,"Flavonoides: antiproliferativos, pro-apoptóticos y moduladores de vías como NF-_B; extensas revisiones y estudios preclínicos disponibles. (Compuesto: Baicalina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11904581/ 
163,Aucubina,ChEMBL,OCC1=C[C@@H](O)[C@@H]2C=CO[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]12,Isomérico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Aucubina).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
164,Ácido vainílico,DrugBank,COC1=CC(=CC=C1O)C([O-])=O,Canónico,"Compuestos fenólicos y ácidos fenólicos: inducción de apoptosis, inhibición del ciclo celular, y actividad quimiopreventiva. Ver revisión. (Compuesto: Ácido vainílico).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9657352/ 
165,Piperolactam A,Pubchem,COC1=C(C2=C3C(=C1)C(=O)NC3=CC4=CC=CC=C42)O,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Piperolactam A).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
166,Piperlonguminina,ChEBI,O1C2=C(OC1)C=CC(=C2)/C=C/C=C/C(=O)NCC(C)C,Isomérico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: Piperlonguminina).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
167,Piperaduncina A,ChEMBL,COC(=O)c1ccc(O)c(C(C=C(C)C)c2c(OC)cc(O)c(C(=O)CCc3ccccc3)c2O)c1,Canónico,Se han reportado efectos anticancerígenos para compuestos de esta clase en literatura revisada; revisar artículos específicos en PubMed/ScienceDirect. (Compuesto: Piperaduncina A).,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12011705/ 
168,Dillapiol,ChEMBL,C=CCc1cc2c(c(OC)c1OC)OCO2,Canónico,"Terpenoides/terpenos: citotoxicidad, arresto del ciclo celular y apoptosis en múltiples líneas tumorales; revisiones recientes describen mecanismos. (Compuesto: Dillapiol).",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8909202/ 
169,Nerolidol,ChEBI,[H]C(CCC(C)(O)C=C)=C(C)CCC=C(C)C,Canónico,"Nerolidol ha mostrado actividad antiproliferativa y pro-apoptótica en estudios in vitro, incluyendo trabajos en leucemia y otros tipos celulares; se ha estudiado su mecanismo relacionado con la inducción de apoptosis y arresto del ciclo celular.",https://pubmed.ncbi.nlm.nih.gov/39817573/ 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
